year,type,population,year_placeholder,shinkansen_line,no_station
1964,Female,49201213,1964,Tokaido,12
1964,Male,47701787,1964,Tokaido,12
1964,Total,96903000,1964,Tokaido,12
1965,Female,49729415,1965,Tokaido,12
1965,Male,48222585,1965,Tokaido,12
1965,Total,97952000,1965,Tokaido,12
1966,Female,50178001,1966,Tokaido,12
1966,Male,48672999,1966,Tokaido,12
1966,Total,98851000,1966,Tokaido,12
1967,Female,50689006,1967,Tokaido,12
1967,Male,49189994,1967,Tokaido,12
1967,Total,99879000,1967,Tokaido,12
1968,Female,51250348,1968,Tokaido,12
1968,Male,49760652,1968,Tokaido,12
1968,Total,101011000,1968,Tokaido,12
1969,Female,51848829,1969,Tokaido,13
1969,Male,50370171,1969,Tokaido,13
1969,Total,102219000,1969,Tokaido,13
1970,Female,52434590,1970,Tokaido,13
1970,Male,50968410,1970,Tokaido,13
1970,Total,103403000,1970,Tokaido,13
1971,Female,53582623,1971,Tokaido,13
1971,Male,52114377,1971,Tokaido,13
1971,Total,105697000,1971,Tokaido,13
1972,Female,54323037,1972,Sanyo,5
1972,Female,54323037,1972,Tokaido,13
1972,Male,52864963,1972,Sanyo,5
1972,Male,52864963,1972,Tokaido,13
1972,Total,107188000,1972,Sanyo,5
1972,Total,107188000,1972,Tokaido,13
1973,Female,55078120,1973,Sanyo,5
1973,Female,55078120,1973,Tokaido,13
1973,Male,53628880,1973,Sanyo,5
1973,Male,53628880,1973,Tokaido,13
1973,Total,108707000,1973,Sanyo,5
1973,Total,108707000,1973,Tokaido,13
1974,Female,55802301,1974,Sanyo,5
1974,Female,55802301,1974,Tokaido,13
1974,Male,54359699,1974,Sanyo,5
1974,Male,54359699,1974,Tokaido,13
1974,Total,110162000,1974,Sanyo,5
1974,Total,110162000,1974,Tokaido,13
1975,Female,56506487,1975,Sanyo,15
1975,Female,56506487,1975,Tokaido,13
1975,Male,55066513,1975,Sanyo,15
1975,Male,55066513,1975,Tokaido,13
1975,Total,111573000,1975,Sanyo,15
1975,Total,111573000,1975,Tokaido,13
1976,Female,57107603,1976,Sanyo,15
1976,Female,57107603,1976,Tokaido,13
1976,Male,55667397,1976,Sanyo,15
1976,Male,55667397,1976,Tokaido,13
1976,Total,112775000,1976,Sanyo,15
1976,Total,112775000,1976,Tokaido,13
1977,Female,57658272,1977,Sanyo,15
1977,Female,57658272,1977,Tokaido,13
1977,Male,56213728,1977,Sanyo,15
1977,Male,56213728,1977,Tokaido,13
1977,Total,113872000,1977,Sanyo,15
1977,Total,113872000,1977,Tokaido,13
1978,Female,58182892,1978,Sanyo,15
1978,Female,58182892,1978,Tokaido,13
1978,Male,56730108,1978,Sanyo,15
1978,Male,56730108,1978,Tokaido,13
1978,Total,114913000,1978,Sanyo,15
1978,Total,114913000,1978,Tokaido,13
1979,Female,58676704,1979,Sanyo,15
1979,Female,58676704,1979,Tokaido,13
1979,Male,57213296,1979,Sanyo,15
1979,Male,57213296,1979,Tokaido,13
1979,Total,115890000,1979,Sanyo,15
1979,Total,115890000,1979,Tokaido,13
1980,Female,59141247,1980,Sanyo,15
1980,Female,59141247,1980,Tokaido,13
1980,Male,57665753,1980,Sanyo,15
1980,Male,57665753,1980,Tokaido,13
1980,Total,116807000,1980,Sanyo,15
1980,Total,116807000,1980,Tokaido,13
1981,Female,59574777,1981,Sanyo,15
1981,Female,59574777,1981,Tokaido,13
1981,Male,58086223,1981,Sanyo,15
1981,Male,58086223,1981,Tokaido,13
1981,Total,117661000,1981,Sanyo,15
1981,Total,117661000,1981,Tokaido,13
1982,Female,59991753,1982,Joetsu,8
1982,Female,59991753,1982,Sanyo,15
1982,Female,59991753,1982,Tohoku,13
1982,Female,59991753,1982,Tokaido,13
1982,Male,58488247,1982,Joetsu,8
1982,Male,58488247,1982,Sanyo,15
1982,Male,58488247,1982,Tohoku,13
1982,Male,58488247,1982,Tokaido,13
1982,Total,118480000,1982,Joetsu,8
1982,Total,118480000,1982,Sanyo,15
1982,Total,118480000,1982,Tohoku,13
1982,Total,118480000,1982,Tokaido,13
1983,Female,60414541,1983,Joetsu,8
1983,Female,60414541,1983,Sanyo,15
1983,Female,60414541,1983,Tohoku,13
1983,Female,60414541,1983,Tokaido,13
1983,Male,58892459,1983,Joetsu,8
1983,Male,58892459,1983,Sanyo,15
1983,Male,58892459,1983,Tohoku,13
1983,Male,58892459,1983,Tokaido,13
1983,Total,119307000,1983,Joetsu,8
1983,Total,119307000,1983,Sanyo,15
1983,Total,119307000,1983,Tohoku,13
1983,Total,119307000,1983,Tokaido,13
1984,Female,60814106,1984,Joetsu,8
1984,Female,60814106,1984,Sanyo,15
1984,Female,60814106,1984,Tohoku,13
1984,Female,60814106,1984,Tokaido,13
1984,Male,59268894,1984,Joetsu,8
1984,Male,59268894,1984,Sanyo,15
1984,Male,59268894,1984,Tohoku,13
1984,Male,59268894,1984,Tokaido,13
1984,Total,120083000,1984,Joetsu,8
1984,Total,120083000,1984,Sanyo,15
1984,Total,120083000,1984,Tohoku,13
1984,Total,120083000,1984,Tokaido,13
