year,akita,hokkaido,hokuriku,joetsu,kyushu,sanyo,tohoku,tokaido,yamagata
1964,,,,,,,,12,
1965,,,,,,,,12,
1966,,,,,,,,12,
1967,,,,,,,,12,
1968,,,,,,,,12,
1969,,,,,,,,13,
1970,,,,,,,,13,
1971,,,,,,,,13,
1972,,,,,,5,,13,
1973,,,,,,5,,13,
1974,,,,,,5,,13,
1975,,,,,,15,,13,
1976,,,,,,15,,13,
1977,,,,,,15,,13,
1978,,,,,,15,,13,
1979,,,,,,15,,13,
1980,,,,,,15,,13,
1981,,,,,,15,,13,
1982,,,,8,,15,13,13,
1983,,,,8,,15,13,13,
1984,,,,8,,15,13,13,
1985,,,,8,,15,16,13,
1986,,,,8,,15,16,13,
1987,,,,8,,15,16,13,
1988,,,,8,,17,16,16,
1989,,,,8,,17,16,16,
1990,,,,8,,17,17,16,
1991,,,,8,,17,18,16,
1992,,,,8,,17,18,16,5
1993,,,,8,,17,18,16,5
1994,,,,8,,17,18,16,5
1995,,,,8,,17,18,16,5
1996,,,,8,,17,18,16,5
1997,5,,5,8,,17,18,16,5
1998,5,,5,8,,17,18,16,5
1999,5,,5,8,,18,18,16,10
2000,5,,5,8,,18,18,16,10
2001,5,,5,8,,18,18,16,10
2002,5,,5,8,,18,21,16,10
2003,5,,5,8,,18,21,17,10
2004,5,,5,9,5,18,21,17,10
2005,5,,5,9,5,18,21,17,10
2006,5,,5,9,5,18,21,17,10
2007,5,,5,9,5,18,21,17,10
2008,5,,5,9,5,18,21,17,10
2009,5,,5,9,5,18,21,17,10
2010,5,,5,9,5,18,23,17,10
2011,5,,5,9,11,18,23,17,10
2012,5,,5,9,11,18,23,17,10
2013,5,,5,9,11,18,23,17,10
2014,5,,5,9,11,18,23,17,10
2015,5,,12,9,11,18,23,17,10
2016,5,3,12,9,11,18,23,17,10
