year,shinkansen_line,no_station
1964,akita,
1965,akita,
1966,akita,
1967,akita,
1968,akita,
1969,akita,
1970,akita,
1971,akita,
1972,akita,
1973,akita,
1974,akita,
1975,akita,
1976,akita,
1977,akita,
1978,akita,
1979,akita,
1980,akita,
1981,akita,
1982,akita,
1983,akita,
1984,akita,
1985,akita,
1986,akita,
1987,akita,
1988,akita,
1989,akita,
1990,akita,
1991,akita,
1992,akita,
1993,akita,
1994,akita,
1995,akita,
1996,akita,
1997,akita,5
1998,akita,5
1999,akita,5
2000,akita,5
2001,akita,5
2002,akita,5
2003,akita,5
2004,akita,5
2005,akita,5
2006,akita,5
2007,akita,5
2008,akita,5
2009,akita,5
2010,akita,5
2011,akita,5
2012,akita,5
2013,akita,5
2014,akita,5
2015,akita,5
2016,akita,5
1964,hokkaido,
1965,hokkaido,
1966,hokkaido,
1967,hokkaido,
1968,hokkaido,
1969,hokkaido,
1970,hokkaido,
1971,hokkaido,
1972,hokkaido,
1973,hokkaido,
1974,hokkaido,
1975,hokkaido,
1976,hokkaido,
1977,hokkaido,
1978,hokkaido,
1979,hokkaido,
1980,hokkaido,
1981,hokkaido,
1982,hokkaido,
1983,hokkaido,
1984,hokkaido,
1985,hokkaido,
1986,hokkaido,
1987,hokkaido,
1988,hokkaido,
1989,hokkaido,
1990,hokkaido,
1991,hokkaido,
1992,hokkaido,
1993,hokkaido,
1994,hokkaido,
1995,hokkaido,
1996,hokkaido,
1997,hokkaido,
1998,hokkaido,
1999,hokkaido,
2000,hokkaido,
2001,hokkaido,
2002,hokkaido,
2003,hokkaido,
2004,hokkaido,
2005,hokkaido,
2006,hokkaido,
2007,hokkaido,
2008,hokkaido,
2009,hokkaido,
2010,hokkaido,
2011,hokkaido,
2012,hokkaido,
2013,hokkaido,
2014,hokkaido,
2015,hokkaido,
2016,hokkaido,3
1964,hokuriku,
1965,hokuriku,
1966,hokuriku,
1967,hokuriku,
1968,hokuriku,
1969,hokuriku,
1970,hokuriku,
1971,hokuriku,
1972,hokuriku,
1973,hokuriku,
1974,hokuriku,
1975,hokuriku,
1976,hokuriku,
1977,hokuriku,
1978,hokuriku,
1979,hokuriku,
1980,hokuriku,
1981,hokuriku,
1982,hokuriku,
1983,hokuriku,
1984,hokuriku,
1985,hokuriku,
1986,hokuriku,
1987,hokuriku,
1988,hokuriku,
1989,hokuriku,
1990,hokuriku,
1991,hokuriku,
1992,hokuriku,
1993,hokuriku,
1994,hokuriku,
1995,hokuriku,
1996,hokuriku,
1997,hokuriku,5
1998,hokuriku,5
1999,hokuriku,5
2000,hokuriku,5
2001,hokuriku,5
2002,hokuriku,5
2003,hokuriku,5
2004,hokuriku,5
2005,hokuriku,5
2006,hokuriku,5
2007,hokuriku,5
2008,hokuriku,5
2009,hokuriku,5
2010,hokuriku,5
2011,hokuriku,5
2012,hokuriku,5
2013,hokuriku,5
2014,hokuriku,5
2015,hokuriku,12
2016,hokuriku,12
1964,joetsu,
1965,joetsu,
1966,joetsu,
1967,joetsu,
1968,joetsu,
1969,joetsu,
1970,joetsu,
