number_of_stations,shinkansen_line,prefecture,avg_distance_from_tokyo_st,company,prefecture_jp,city,latitude,longitude
"4,""Tokaido,Tohoku"",Tokyo,2.6,""JR_Central,JR_East"",東京都,新宿区,35.689440000000005,139.69167"
2,Tokaido,Kanagawa,56.35,JR_Central,神奈川県,横浜市,35.44778,139.6425
6,Tokaido,Shizuoka,173.016666666667,JR_Central,静岡県,静岡市,34.97694,138.38306
3,Tokaido,Aichi,321.966666666667,JR_Central,愛知県,名古屋市,35.18028,136.90667
1,Tokaido,Gifu,396.3,JR_Central,岐阜県,岐阜市,35.39111,136.72222
1,Tokaido,Shiga,445.9,JR_Central,滋賀県,大津市,35.00444,135.86833
1,Tokaido,Kyoto,513.6,JR_Central,京都府,京都市,35.021390000000004,135.75556
1,Tokaido-Sanyo,Osaka,552.6,JR_Central,大阪府,大阪市,34.68639,135.52
4,Sanyo,Hyogo,627.775,JR_West,兵庫県,神戸市,34.691390000000006,135.18306
2,Sanyo,Okayama,745.5,JR_West,岡山県,岡山市,34.66167,133.935
5,Sanyo,Hiroshima,836.38,JR_West,広島県,広島市,34.396390000000004,132.45944
5,Sanyo,Yamaguchi,1019.22,JR_West,山口県,山口市,34.18583,131.47139
"5,""Sanyo,Sanyo-Kyushu,Kyushu"",Fukuoka,1192.76,""JR_West,JR_Kyushu"",福岡県,福岡市,33.606390000000005,130.41806"
"3,""Tohoku-Joetsu,Joetsu"",Saitama,60.3333333333333,JR_East,埼玉県,さいたま市,35.85694,139.64889"
3,Tohoku,Tochigi,115.966666666667,JR_East,栃木県,宇都宮市,36.56583,139.88361
"3,""Tohoku,Tohoku-Yamagata"",Fukushima,272.8,JR_East,福島県,福島市,37.75,140.46778"
4,Tohoku,Miyagi,367.45,JR_East,宮城県,仙台市,38.26889,140.87194
"8,""Tohoku,Tohoku-Akita,Akita"",Iwate,519.5875,JR_East,岩手県,盛岡市,39.70361,141.1525"
"4,""Tohoku,Tohoku-Hokkaido,Hokkaido"",Aomori,691.45,""JR_East,JR_Hokkaido"",青森県,青森市,40.82444,140.74"
"3,""Joetsu,Joetsu-Hokuriku,Hokuriku"",Gunma,396.3,JR_East,群馬県,前橋市,36.39111,139.06083"
"7,""Joetsu,Hokuriku"",Niigata,275.314285714286,""JR_East,JR_West"",新潟県,新潟市,37.90222,139.02361000000002"
10,Yamagata,Yamagata,363.37,JR_East,山形県,山形市,38.24056,140.36333
4,Akita,Akita,610.75,JR_East,秋田県,秋田市,39.71861,140.1025
5,Hokuriku,Nagano,195.02,JR_East,長野県,長野市,36.65139,138.18111000000002
3,Hokuriku,Toyama,386.933333333333,JR_West,富山県,富山市,36.69528,137.21139
1,Hokuriku,Ishikawa,450.5,JR_West,石川県,金沢市,36.594440000000006,136.62556
1,Kyushu,Saga,1203.5,JR_Kyushu,佐賀県,佐賀市,33.24944,130.29889
4,Kyushu,Kumamoto,1313.45,JR_Kyushu,熊本県,熊本市,32.78972,130.74167
3,Kyushu,Kagoshima,1422.16666666667,JR_Kyushu,鹿児島県,鹿児島市,31.56028,130.55806
2,Hokkaido,Hokkaido,844.75,JR_Hokkaido,北海道,札幌市,43.06417,141.34694
